name,category,subcategory,address,phone,rating,reviews,website,profileUrl,placeId,verified,claimEmail
Karl’s Auto Clinic Inc.,Auto Services,,"275 Dundas St E, Mississauga, ON L5A 1X1, Canada",(416) 567-3277,5,443,,https://mississaugainsider.ca/directory/auto/karl-s-auto-clinic-inc-wrd1mb/,ChIJEbzjVfxHK4gR9B8VbnPjMKE,no,
YST TUNING Auto Mechanic,Auto Services,,"3390 Wolfedale Rd #1, Mississauga, ON L5C 1W4, Canada",(905) 276-3390,5,398,http://www.ysttuning.com/,https://mississaugainsider.ca/directory/auto/yst-tuning-auto-mechanic-wi50fz/,ChIJ63n9c4lHK4gRRFi-xvGxd4E,no,
Filter Auto Repair,Auto Services,,"1700 Sismet Rd Unit 1B, Mississauga, ON L4W 1R4, Canada",(647) 461-3240,5,344,https://filterautorepair.com/,https://mississaugainsider.ca/directory/auto/filter-auto-repair-gjloe0/,ChIJyVJVn805K4gRui1UgJ6cxys,no,
Simplicity Car Care Mississauga Central Collision Centre,Auto Services,,"885 Central Pkwy W, Mississauga, ON L5C 2V9, Canada",(905) 276-5523,5,218,https://simplicitycarcare.ca/auto-collision-center-locations/simplicity-car-care-mississauga-central/,https://mississaugainsider.ca/directory/auto/simplicity-car-care-mississauga-central-collision-centre-wgy1wj/,ChIJcZtDJ5ZBK4gRsGx5B4nEji0,no,
Streetsville Auto & Detailing,Auto Services,,"36 William St, Mississauga, ON L5M 1J3, Canada",(905) 567-0004,5,136,https://streetsville-auto.com/,https://mississaugainsider.ca/directory/auto/streetsville-auto-and-detailing-7prgk9/,ChIJB_ZJrZFBK4gRS8JXi5qmbW4,no,
H.S Auto mobile mechanic,Auto Services,,"5100 Erin Mills Pkwy, Mississauga, ON L5M 4Z5, Canada",(647) 510-4400,5,109,https://www.hsautomechanic.ca/,https://mississaugainsider.ca/directory/auto/h-s-auto-mobile-mechanic-fdkyqd/,ChIJ05wwGRmeQqgROf2dEa1Jt1I,no,
Eastgate Auto Repair,Auto Services,,"5285 Maingate Dr, Mississauga, ON L4W 1G8, Canada",(905) 212-7071,5,101,https://www.eastgateautorepair.com/,https://mississaugainsider.ca/directory/auto/eastgate-auto-repair-itb26f/,ChIJv_iURb45K4gRImGZSbPIedE,no,
Salem's Auto Mobile Mechanic -Auto Repair Services,Auto Services,,"Erin Mills Pkwy, Mississauga, ON L5L 5Z5, Canada",(437) 450-3060,5,76,http://salemsauto.com/,https://mississaugainsider.ca/directory/auto/salem-s-auto-mobile-mechanic-auto-repair-services-040zxy/,ChIJrUWmWIpDK4gRuXWUD2tEOQQ,no,
Velocity Garage Mechanic shop,Auto Services,,"260 Dundas St W B, Mississauga, ON M7A 1G1, Canada",(647) 203-9575,5,40,http://velocitygarage.ca/,https://mississaugainsider.ca/directory/auto/velocity-garage-mechanic-shop-yuiqg8/,ChIJJaZpmG5HK4gRKQruVCtiGQQ,no,
streetsidemechanic,Auto Services,,"6677 Meadowvale Town Centre Mississauga ON L5N 2R5, Mississauga, ON L5N 2R7, Canada",(437) 881-4315,5,29,,https://mississaugainsider.ca/directory/auto/streetsidemechanic-x4xxik/,ChIJcdgE8TZLoiQRMsonCtlKrjg,no,
A.Tech Auto Repairs,Auto Services,,"3570 Wolfedale Rd Unit B, Mississauga, ON L5C 2V6, Canada",(647) 606-3329,5,20,http://www.atechautorepairs.ca/,https://mississaugainsider.ca/directory/auto/a-tech-auto-repairs-f15yt3/,ChIJsVNFFl1BK4gRhd_XLEwMW5E,no,
FIX AUTO ERIN MILLS,Auto Services,,"2365 Motorway Blvd, Mississauga, ON L5L 2M4, Canada",(905) 828-9269,5,6,https://fixauto.com/ca/en/shop/fix-auto-erin-mills/,https://mississaugainsider.ca/directory/auto/fix-auto-erin-mills-8xrvmj/,ChIJ-67aUGtDK4gRTKGSeAHZ-Uc,no,
