name,category,subcategory,address,phone,rating,reviews,website,profileUrl,placeId,verified,claimEmail
Boss Vibes Barbershop,Beauty & Barber,,"3615 Dixie Rd Unit 6, Mississauga, ON L4Y 4H4, Canada",(905) 629-2094,5,4399,https://www.bossvibes.ca/,https://mississaugainsider.ca/directory/beauty/boss-vibes-barbershop-ffqeeb/,ChIJzYDEolQ5K4gRulLw5fWqsWo,no,
Golden Cuts Barbershop,Beauty & Barber,,"3480 Platinum Dr Unit 95, Mississauga, ON L5M 2S4, Canada",(905) 569-0060,5,2202,http://www.goldencuts.ca/,https://mississaugainsider.ca/directory/beauty/golden-cuts-barbershop-yih2t9/,ChIJVUGtFFdDK4gRcxnGzuDxBz8,no,
King's Chair Barbershop,Beauty & Barber,,"6990 Financial Dr #7G, Mississauga, ON L5N 8J4, Canada",(905) 533-0270,5,2033,https://kingschair.ca/,https://mississaugainsider.ca/directory/beauty/king-s-chair-barbershop-8hhsts/,ChIJN3Gjqz5rK4gRaFvz8_PMMIA,no,
DILVIOR Barbershop,Beauty & Barber,,"98 Courtneypark Dr E Bldg C2 Unit 7, Mississauga, ON L5T 2Y3, Canada",(905) 670-7666,5,1384,https://dilviorbarbershop.ca/,https://mississaugainsider.ca/directory/beauty/dilvior-barbershop-tlqjg6/,ChIJQSSIcn0_K4gRmc-rgCqSBw0,no,
Unity Barbershop,Beauty & Barber,,"230 Lakeshore Rd E, Mississauga, ON L5G 1G7, Canada",(647) 979-6523,5,1083,https://unitybarbershop.ca/,https://mississaugainsider.ca/directory/beauty/unity-barbershop-n2n87f/,ChIJEZJmkwRHK4gRc0wPTZ06ZTk,no,
Kams Hair & Beauty,Beauty & Barber,,"inside PROBEAUTY, 650 Matheson Blvd W Ste 29, Mississauga, ON L5R 3T2, Canada",(647) 572-8845,5,741,https://www.instagram.com/kams_hair_and_beauty,https://mississaugainsider.ca/directory/beauty/kams-hair-and-beauty-2zr1ec/,ChIJ0VmHV7ZBK4gRDeIRBOfiNSw,no,
Clip & Chill Barbershop,Beauty & Barber,,"4099 Erin Mills Pkwy Unit 4, Mississauga, ON L5L 3P9, Canada",(905) 606-2212,5,738,https://clipandchill.com/,https://mississaugainsider.ca/directory/beauty/clip-and-chill-barbershop-d4xkiv/,ChIJD_7MM0pDK4gRX6x9B1poxYw,no,
PROBARBER | in Mississauga,Beauty & Barber,,"801 Dundas St E E2/E3, Mississauga, ON L4Y 4G9, Canada",(647) 982-0006,5,714,https://www.fresha.com/book-now/probarber-wujdg5ap/services?lid=2721280&eid=4800951&share=true&pId=2633153,https://mississaugainsider.ca/directory/beauty/probarber-in-mississauga-fxkx8g/,ChIJh0hTJgBHK4gRkoi7EHAKHIQ,no,
Kapsalon,Beauty & Barber,,"7071 Airport Rd #8a, Mississauga, ON L4T 4J3, Canada",(437) 991-6641,5,581,,https://mississaugainsider.ca/directory/beauty/kapsalon-tkb2rs/,ChIJ0z-WGsc7K4gRTSxGAm9WPCA,no,
FahadFadez Barbershop,Beauty & Barber,,"5247 Willowside Ct, Mississauga, ON L5V 2C5, Canada",(416) 414-2305,5,516,https://fahadfadezbarbershop.com/,https://mississaugainsider.ca/directory/beauty/fahadfadez-barbershop-aw8djh/,ChIJJ5JuVBJBK4gRRozMl3931LM,no,
NORTHY BARBERSHOP,Beauty & Barber,,"2580 Shepard Ave, Mississauga, ON L5A 4K3, Canada",(647) 629-0803,5,481,http://www.northybarbershop.com/,https://mississaugainsider.ca/directory/beauty/northy-barbershop-mri34j/,ChIJ50MDG4tHK4gRtcCSs2NTrOA,no,
Mes Amis Barbershop,Beauty & Barber,,"800 Southdown Rd Unit a1, Mississauga, ON L5J 2Y4, Canada",(905) 822-5888,5,373,https://mesamisbarbershop.com/,https://mississaugainsider.ca/directory/beauty/mes-amis-barbershop-2o6314/,ChIJk278kDZFK4gRN-tOZWbFLAo,no,
Hairpad Barbershop,Beauty & Barber,,"Chair No. 1, Styloria Hair and beauty salon, 592 Rathburn Rd W Unit 3, Mississauga, ON L5B 3A4, Canada",(437) 665-1122,5,357,https://hairpadbarbershop.square.site/,https://mississaugainsider.ca/directory/beauty/hairpad-barbershop-i5x4wo/,ChIJX-cKVOhPBUURbJ8qvEE2GwY,no,
ONE OF ONE HAIR STUDIO,Beauty & Barber,,"700 Dundas St E Unit 203, Mississauga, ON L4Y 3Y5, Canada",(905) 803-9379,5,346,https://oneofonehairstudio1.booksy.com/,https://mississaugainsider.ca/directory/beauty/one-of-one-hair-studio-ktnnfj/,ChIJw7iPRUJDK4gRfdakhj2IjAU,no,
Barbers-Shop by Arsena,Beauty & Barber,,"3015 Parkerhill Rd #2, Mississauga, ON L5B 4B2, Canada",(647) 609-5142,5,339,https://barbers-shop-by-arsena.easyweek.io/?ref=google_maps,https://mississaugainsider.ca/directory/beauty/barbers-shop-by-arsena-sbm4nd/,ChIJbYXaAeRHK4gRvicfmUT1KZg,no,
Revival Barber Studio,Beauty & Barber,,"650 Matheson Blvd W, Mississauga, ON L5R 3T2, Canada",(647) 225-6210,5,203,https://getsqr.co/clipperqueen,https://mississaugainsider.ca/directory/beauty/revival-barber-studio-ctzo16/,ChIJRVI5zCVBK4gRUOONF2EhOmo,no,
Danny’s barbershop/salon/spa,Beauty & Barber,,"220 Burnhamthorpe Rd W, Mississauga, ON L5B 4N4, Canada",(905) 949-6000,5,160,https://getsquire.com/booking/book/dannys-barbershop-west-mississauga,https://mississaugainsider.ca/directory/beauty/danny-s-barbershop-salon-spa-dgvafa/,ChIJa5gGvUtHK4gR6ornEcvehHI,no,
Lorne Park Barbershop,Beauty & Barber,,"1107 Lorne Park Rd #23, Mississauga, ON L5H 3A1, Canada",(905) 500-6460,5,156,http://lorneparkbarbershop.booksy.com/,https://mississaugainsider.ca/directory/beauty/lorne-park-barbershop-hd0fss/,ChIJ8_H8vfBFK4gRFkRqjugpLVc,no,
MCutz Grooming Lounge,Beauty & Barber,,"Private Studio McLaughlin &, Kaiser Dr, Mississauga, ON L5W 1V8, Canada",(647) 446-2889,5,143,https://mcutz.ca/,https://mississaugainsider.ca/directory/beauty/mcutz-grooming-lounge-2rif8p/,ChIJF75b7cJBK4gRhnpXNyJG93U,no,
SK Blends Barbershop,Beauty & Barber,,"7215 Goreway Dr Unit, Mississauga, ON L4T 0B4, Canada",(437) 996-1781,5,134,http://www.skblendsbarbershop.com/,https://mississaugainsider.ca/directory/beauty/sk-blends-barbershop-kdj651/,ChIJDYMcyyc7K4gRbss1rDTWy0I,no,
Fade It Up,Beauty & Barber,,"360 Revus Ave #2, Mississauga, ON L5G 4S4, Canada",(647) 800-8409,5,106,,https://mississaugainsider.ca/directory/beauty/fade-it-up-a801co/,ChIJE76VAWxHK4gRM6elI3fA4FQ,no,
RichxBarber Studio,Beauty & Barber,,"1675 The Chase, Mississauga, ON L5M 5Y7, Canada",,5,100,http://richxbarber.setmore.com/,https://mississaugainsider.ca/directory/beauty/richxbarber-studio-itady9/,ChIJrbCNgU9BK4gRjjnF7KbZ8W0,no,
Port Credit Barber Shop,Beauty & Barber,,"247 Lakeshore Rd E, Mississauga, ON L5H 1G5, Canada",(905) 891-0267,5,88,,https://mississaugainsider.ca/directory/beauty/port-credit-barber-shop-8mtbxd/,ChIJP_gvnBZGK4gRENj_LV1rTBQ,no,
LVLL HAIR STUDIOS,Beauty & Barber,,"3449 Covent Crescent, Mississauga, ON L5M 7P1, Canada",(647) 551-2808,5,84,https://booksy.com/en-ca/11028_lvll-hair-studio_barbershop_870806_mississauga#ba_s=seo,https://mississaugainsider.ca/directory/beauty/lvll-hair-studios-kngvly/,ChIJ36xtWmtCK4gRsgwSqPWcP4c,no,
Prestige barber studio,Beauty & Barber,,"273 Lakeshore Rd E, Mississauga, ON L5G 1G8, Canada",(905) 990-2018,5,75,http://prestigebarbergta.booksy.com/,https://mississaugainsider.ca/directory/beauty/prestige-barber-studio-4cl4qp/,ChIJETmgXH5HK4gRKfuliTn6IbE,no,
Fade Hub,Beauty & Barber,,"7215 Goreway Dr Unit 1B31, Mississauga, ON L4T 0B4, Canada",(647) 679-9829,5,75,,https://mississaugainsider.ca/directory/beauty/fade-hub-wbl43x/,ChIJ0Wdpwj07K4gRoyVBRJ0IJvg,no,
Hair By Carmelo,Beauty & Barber,,"507 Lakeshore Rd E Suite 200, unit 3, Mississauga, ON L5G 1H9, Canada",(647) 545-1549,5,60,http://www.hairbycarmelo.com/,https://mississaugainsider.ca/directory/beauty/hair-by-carmelo-gr7bfq/,ChIJdZ19GBJHK4gREellpP8shkU,no,
LIKHA Hair Studio,Beauty & Barber,,"507 Lakeshore Rd E Ste 200, unit 22, Mississauga, ON L5G 1H9, Canada",(647) 551-2755,5,46,https://likhahairstudio.square.site/,https://mississaugainsider.ca/directory/beauty/likha-hair-studio-jy9zit/,ChIJ54uhCXRHK4gRY_diMu3U7mw,no,
