name,category,subcategory,address,phone,rating,reviews,website,profileUrl,placeId,verified,claimEmail
Lal Chand’s Bakery and Cafe,Cafés & Bakeries,,"511 Ray Lawson Blvd #7, Brampton, ON L6Y 0N2, Canada",(905) 451-8468,4.9,1373,http://lalchandbakery.com/,https://mississaugainsider.ca/directory/cafes/lal-chand-s-bakery-and-cafe-1tvwem/,ChIJ8cPqiKs_K4gRlSIM4GcOqu0,no,
CROWN PASTRIES,Cafés & Bakeries,,"3480 Platinum Dr Unit 96, Mississauga, ON L5M 2S1, Canada",(905) 828-0700,4.9,1151,https://www.crownpastries.com/,https://mississaugainsider.ca/directory/cafes/crown-pastries-l3vs71/,ChIJi9uiQQBDK4gRFhg7ZhwLSVU,no,
Lale Bakery Caffe,Cafés & Bakeries,,"3665 Lake Shore Blvd W, Etobicoke, ON M8W 1N6, Canada",(416) 259-0801,4.9,346,http://lalebakery.com/,https://mississaugainsider.ca/directory/cafes/lale-bakery-caffe-0buk8e/,ChIJ-Uhz3EFIK4gRS14_InSyB8A,no,
Momochee's Desserts,Cafés & Bakeries,,"263 Lakeshore Rd E, Mississauga, ON L5G 1G8, Canada",(905) 274-3813,4.9,251,http://momocheesdesserts.ca/,https://mississaugainsider.ca/directory/cafes/momochee-s-desserts-6icreg/,ChIJSbmQZ_dHK4gR_fTS4Y8iuC8,no,
Crepepresso Dessert Cafe,Cafés & Bakeries,,"4070 Living Arts Dr Unit 2, Mississauga, ON L5B 4N3, Canada",(437) 605-5006,4.9,128,https://crepepresso.com/,https://mississaugainsider.ca/directory/cafes/crepepresso-dessert-cafe-v4ergr/,ChIJ-_SJ0ENHK4gRNlIAdi508vQ,no,
The Bakers,Cafés & Bakeries,,"100 City Centre Dr #1-831, Mississauga, ON L5B 2C9, Canada",(905) 607-1711,4.9,115,https://thebakers.ca/locations/square-one,https://mississaugainsider.ca/directory/cafes/the-bakers-90sccy/,ChIJpbo0WABBK4gRNSdygjg2PtU,no,
Revrea's Grill & Bakeshop,Cafés & Bakeries,,"1057 Dundas St W, Mississauga, ON L5C 1C3, Canada",(905) 566-9015,4.9,44,http://revreas.com/,https://mississaugainsider.ca/directory/cafes/revrea-s-grill-and-bakeshop-i23p8d/,ChIJVZNpTHhHK4gRZbK0jsB9gpg,no,
Qamaria Yemeni Coffee Co.,Cafés & Bakeries,,"271 Queen St S, Mississauga, ON L5M 1L9, Canada",(289) 814-9777,4.8,2477,https://www.qamariacoffee.com/,https://mississaugainsider.ca/directory/cafes/qamaria-yemeni-coffee-co-gpmtg9/,ChIJq4QxEwBBK4gRXRgr3NWMaUY,no,
LOLO Sweet & Event,Cafés & Bakeries,,"2225 Erin Mills Pkwy, Mississauga, ON L5K 1T9, Canada",(647) 668-4221,4.8,623,http://www.loloswt.com/,https://mississaugainsider.ca/directory/cafes/lolo-sweet-and-event-wwiy9d/,ChIJj32Ym3xBK4gRuONhAX9ynP8,no,
Mik Café,Cafés & Bakeries,,"577 Burnhamthorpe Rd, Etobicoke, ON M9C 2Y3, Canada",(416) 695-9331,4.8,583,http://mikcafe.com/,https://mississaugainsider.ca/directory/cafes/mik-cafe-cwq3hp/,ChIJMXoNwAo5K4gRKytXS0tZVSs,no,
Back Road Coffee Roasters,Cafés & Bakeries,,"133 Queen St E, Mississauga, ON L5G 1N1, Canada",(647) 287-2727,4.8,558,http://www.backroadcoffee.ca/,https://mississaugainsider.ca/directory/cafes/back-road-coffee-roasters-cnlkfy/,ChIJbxp5piNHK4gRXZB-lzwT8kQ,no,
Knight & Rose Café,Cafés & Bakeries,,"236 Queen St S Second Floor, Mississauga, ON L5M 1L5, Canada",(437) 918-9114,4.8,410,http://www.knightandrosecafe.ca/,https://mississaugainsider.ca/directory/cafes/knight-and-rose-cafe-bnsni5/,ChIJOWYbCkRBK4gRS4E6eCO94Qw,no,
Bear Cake,Cafés & Bakeries,,"1960 Dundas St W #8, Mississauga, ON L5K 2R9, Canada",(905) 822-7676,4.8,137,,https://mississaugainsider.ca/directory/cafes/bear-cake-xxcbqr/,ChIJ6Z8HNQBDK4gRr9y8PZ3NYAY,no,
Coffee At Carltons,Cafés & Bakeries,,"Brightwater Experience Centre, 220 Missinnihe Wy, Mississauga, ON L5H 0A7, Canada",(647) 832-1799,4.8,77,https://www.coffeeatcarltons.com/,https://mississaugainsider.ca/directory/cafes/coffee-at-carltons-9ta5ud/,ChIJT21kTrlHK4gRsw5oO5dPAcs,no,
