name,category,subcategory,address,phone,rating,reviews,website,profileUrl,placeId,verified,claimEmail
Farooq Real Estate Group,Real Estate,,"5865 McLaughlin Rd Unit 6, Mississauga, ON L5R 3V5, Canada",(647) 219-4674,5,186,https://teamfarooq.ca/,https://mississaugainsider.ca/directory/real-estate/farooq-real-estate-group-rxptlg/,ChIJq6qnT5pBK4gRFbP123NKTCM,no,
BERNARDO REAL ESTATE PROFESSIONAL GROUP,Real Estate,,"Royal Lepage Signature Realty, 30 Eglinton Ave W Suite 201, Mississauga, ON L5R 0C1, Canada",(905) 568-2121,5,174,https://www.repg.ca/,https://mississaugainsider.ca/directory/real-estate/bernardo-real-estate-professional-group-w09u73/,ChIJM0XgjDNBK4gRwQVrQQ7_-Eo,no,
Cynthia Ostos Real Estate Team,Real Estate,,"168 Queen St S Ste 106, Mississauga, ON L5M 1K8, Canada",(647) 568-4522,5,158,http://www.cynthiaostos.com/,https://mississaugainsider.ca/directory/real-estate/cynthia-ostos-real-estate-team-l2opoz/,ChIJNS1yR0ZBK4gRLeUKnOJUZjk,no,
The Fresh Approach Real Estate Team,Real Estate,,"296 Queen St S, Mississauga, ON L5M 1M2, Canada",(905) 357-1700,5,153,http://thefreshapproach.ca/,https://mississaugainsider.ca/directory/real-estate/the-fresh-approach-real-estate-team-tkkb3e/,ChIJGRT6vJFqK4gRiOw3oSzDlAU,no,
Deepak Gupta,Real Estate,,"6937 Johnson Wagon Crescent, Mississauga, ON L5W 1B2, Canada",(647) 236-6841,5,144,https://www.mapletreerealtors.com/,https://mississaugainsider.ca/directory/real-estate/deepak-gupta-mxtyj0/,ChIJLRIm80Y_K4gRPy6iVyLCZcM,no,
Crozier Realty,Real Estate,,"103 Lakeshore Rd E, Mississauga, ON L5G 1E2, Canada",(647) 404-2418,5,142,https://crozier-realty.com/?utm_source=gbp&utm_medium=organic,https://mississaugainsider.ca/directory/real-estate/crozier-realty-iikzgc/,ChIJcbDzxYJHK4gRTZp-d7FhZOw,no,
Vanessa Pereira - GTA Real Estate Broker,Real Estate,,"480 Eglinton Ave W Unit 30, Mississauga, ON L5R 0G2, Canada",(416) 902-2171,5,124,https://www.pereirarealtors.ca/,https://mississaugainsider.ca/directory/real-estate/vanessa-pereira-gta-real-estate-broker-q5n60r/,ChIJfyeDPNhHK4gR6sIk2oYYJ8o,no,
Nazar Hameed - Broker of Record,Real Estate,,"4080 Confederation Pkwy Unit 202, Mississauga, ON L5B 0G1, Canada",(647) 975-7788,5,123,http://www.nazarajeely.com/,https://mississaugainsider.ca/directory/real-estate/nazar-hameed-broker-of-record-fqjd5f/,ChIJVTts2i5HK4gR5Ex5jCMh9Kg,no,
Najjar Real Estate Group,Real Estate,,"2575 Dundas St W, Mississauga, ON L5K 2M6, Canada",(416) 560-0874,5,120,http://www.samnajjarcares.com/,https://mississaugainsider.ca/directory/real-estate/najjar-real-estate-group-o91weq/,ChIJhd0DGLtDK4gRAOWpTVQFTjE,no,
CHK Real Estate,Real Estate,,"103 Lakeshore Rd E, Mississauga, ON L5G 1E2, Canada",(416) 833-5516,5,119,https://corriehardingteam.com/?utm_source=gbp&utm_medium=organic,https://mississaugainsider.ca/directory/real-estate/chk-real-estate-8xlkcg/,ChIJ56hQSCrL1IkRCvsNNEZu1H0,no,
TEAMAMAN,Real Estate,,"30 Eglinton Ave W Suit C12, Mississauga, ON L5R 0C1, Canada",(647) 280-0201,5,102,http://teamaman.ca/,https://mississaugainsider.ca/directory/real-estate/teamaman-t6uewx/,ChIJx8CfmGVBK4gRZ9mePEZmywA,no,
Damir Strk,Real Estate,,"2691 Credit Valley Rd #101, Mississauga, ON L5M 7A1, Canada",(416) 884-7925,5,101,https://damirstrk.com/,https://mississaugainsider.ca/directory/real-estate/damir-strk-045vtu/,ChIJv2SvPyNCK4gRBCVZgMUNDXQ,no,
