name,category,subcategory,address,phone,rating,reviews,website,profileUrl,placeId,verified,claimEmail
Pegasus Appliance Repair,Trades & Home Services,Appliance Repair,"2255 Dundas St W, Mississauga, ON L5K 1R6, Canada",(289) 275-9559,5,70,https://pegasusappliancerepair.ca/mississauga-appliance-repair/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb,https://mississaugainsider.ca/directory/trades/pegasus-appliance-repair-qabqlp/,ChIJYaSJp2ZDK4gRmgjw7ps_Irg,no,
905 Appliance Repair,Trades & Home Services,Appliance Repair,"7 Rimini Mews unit 6, Mississauga, ON L5N 4K1, Canada",(289) 906-6997,5,39,https://905appliancerepair.ca/appliance-repair-mississauga/,https://mississaugainsider.ca/directory/trades/905-appliance-repair-odhtrr/,ChIJC-w9CaFBK4gRgk2xtqTxhys,no,
JG Appliances & HVAC Services Inc.,Trades & Home Services,Appliance Repair,"915 Inverhouse Dr, Mississauga, ON L5J 4B2, Canada",(905) 218-3633,5,29,https://jgappliances.ca/,https://mississaugainsider.ca/directory/trades/jg-appliances-and-hvac-services-inc-f7b5nr/,ChIJW2_VKc5FK4gRa399XoZnE3g,no,
Total Care Appliance Repair,Trades & Home Services,Appliance Repair,"60 Atlantic Ave Ste 238, Toronto, ON M6K 1X9, Canada",(647) 308-8103,5,23,https://www.totalcareappliance.com/,https://mississaugainsider.ca/directory/trades/total-care-appliance-repair-9iyksw/,ChIJ9_X-KOBgmQsRoqtCODPBXdA,no,
Appliance Marketplace,Trades & Home Services,Appliance Repair,"7355 Torbram Rd, Mississauga, ON L4T 3W3, Canada",(647) 812-2006,5,15,https://appliancemarketplace.ca/appliance-marketplace,https://mississaugainsider.ca/directory/trades/appliance-marketplace-stynal/,ChIJSR6api4_K4gRyXB3N0OwaAo,no,
E&N Appliance,Trades & Home Services,Appliance Repair,"4889 Yorkshire Ave, Mississauga, ON L4Z 4H6, Canada",(647) 860-5015,5,14,,https://mississaugainsider.ca/directory/trades/e-and-n-appliance-if4g8x/,ChIJvfuceQxBK4gR_EYzLQCcfrg,no,
MZ Appliance Repair,Trades & Home Services,Appliance Repair,"3075 Hurontario St a2, Mississauga, ON L5A 2G9, Canada",(416) 662-9605,5,13,https://mzappliancerepair.ca/,https://mississaugainsider.ca/directory/trades/mz-appliance-repair-q5tjrz/,ChIJY0QPKm5HK4gRlu0ol1TvYMg,no,
APPLIANCE KING CERTIFIED Used Appliance SALES/ REPAIR/ PARTS ** APPOINTMENT ONLY PLS CALL IN ADVANCE,Trades & Home Services,Appliance Repair,"4505 Gladebrook Crescent, Mississauga, ON L5V 1E5, Canada",(416) 402-9110,5,6,,https://mississaugainsider.ca/directory/trades/appliance-king-certified-used-appliance-sales-repair-parts-a-1f2g2r/,ChIJ7TG_rYZBK4gRr0QrmzOQKko,no,
A-Repair,Trades & Home Services,Appliance Repair,"3290 Dragon Dr, Mississauga, ON L5B 3G6, Canada",(647) 333-3350,5,5,https://a-repair.com/,https://mississaugainsider.ca/directory/trades/a-repair-cn7dg8/,ChIJe3_jm8Q5K4gRv6raXUMCIA4,no,
RepairUs Commercial Refrigeration Inc,Trades & Home Services,Appliance Repair,"77 City Centre Dr Ste 501, Mississauga, ON L5B 1M5, Canada",(647) 794-5535,5,2,https://repairusmississauga.ca/,https://mississaugainsider.ca/directory/trades/repairus-commercial-refrigeration-inc-2l5fo4/,ChIJWSKsJZPOZm0RXkUKIy60Ygc,no,
Better View Appliance Repair Mississauga,Trades & Home Services,Appliance Repair,"1585 Mississauga Vly Blvd, Mississauga, ON L5A 3W9, Canada",(416) 900-5035,5,1,https://www.betterviewappliancerepair.com/,https://mississaugainsider.ca/directory/trades/better-view-appliance-repair-mississauga-5y7dtr/,ChIJkwl8WiFHK4gRde_RA1frrDg,no,
